Category: All categories

Week,COVID-19 vaccine: (India)
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,6
2020-03-08,20
2020-03-15,29
2020-03-22,55
2020-03-29,31
2020-04-05,21
2020-04-12,17
2020-04-19,30
2020-04-26,26
2020-05-03,50
2020-05-10,29
2020-05-17,32
2020-05-24,25
2020-05-31,21
2020-06-07,25
2020-06-14,25
2020-06-21,25
2020-06-28,29
2020-07-05,28
2020-07-12,52
2020-07-19,38
2020-07-26,27
2020-08-02,29
2020-08-09,47
2020-08-16,23
2020-08-23,21
2020-08-30,17
2020-09-06,20
2020-09-13,17
2020-09-20,15
2020-09-27,14
2020-10-04,11
2020-10-11,10
2020-10-18,11
2020-10-25,11
2020-11-01,10
2020-11-08,14
2020-11-15,14
2020-11-22,14
2020-11-29,16
2020-12-06,18
2020-12-13,15
2020-12-20,14
2020-12-27,16
2021-01-03,18
2021-01-10,24
2021-01-17,25
2021-01-24,15
2021-01-31,14
2021-02-07,13
2021-02-14,13
2021-02-21,19
2021-02-28,62
2021-03-07,49
2021-03-14,41
2021-03-21,38
2021-03-28,47
2021-04-04,61
2021-04-11,57
2021-04-18,100
