Category: All categories

Week,COVID-19 vaccine: (Israel)
2020-01-26,1
2020-02-02,2
2020-02-09,1
2020-02-16,2
2020-02-23,7
2020-03-01,8
2020-03-08,16
2020-03-15,7
2020-03-22,13
2020-03-29,8
2020-04-05,5
2020-04-12,11
2020-04-19,9
2020-04-26,10
2020-05-03,8
2020-05-10,4
2020-05-17,5
2020-05-24,7
2020-05-31,6
2020-06-07,8
2020-06-14,14
2020-06-21,10
2020-06-28,9
2020-07-05,16
2020-07-12,15
2020-07-19,15
2020-07-26,14
2020-08-02,17
2020-08-09,10
2020-08-16,10
2020-08-23,8
2020-08-30,13
2020-09-06,16
2020-09-13,16
2020-09-20,19
2020-09-27,15
2020-10-04,16
2020-10-11,17
2020-10-18,15
2020-10-25,15
2020-11-01,15
2020-11-08,21
2020-11-15,12
2020-11-22,15
2020-11-29,15
2020-12-06,25
2020-12-13,54
2020-12-20,92
2020-12-27,100
2021-01-03,72
2021-01-10,50
2021-01-17,63
2021-01-24,65
2021-01-31,48
2021-02-07,57
2021-02-14,50
2021-02-21,44
2021-02-28,31
2021-03-07,31
2021-03-14,23
2021-03-21,18
2021-03-28,19
2021-04-04,17
2021-04-11,12
2021-04-18,15
