Category: All categories

Week,Coronavirus disease 2019: (Israel)
2020-01-26,4
2020-02-02,10
2020-02-09,11
2020-02-16,10
2020-02-23,24
2020-03-01,31
2020-03-08,70
2020-03-15,91
2020-03-22,90
2020-03-29,92
2020-04-05,100
2020-04-12,94
2020-04-19,67
2020-04-26,49
2020-05-03,48
2020-05-10,37
2020-05-17,33
2020-05-24,33
2020-05-31,36
2020-06-07,29
2020-06-14,35
2020-06-21,38
2020-06-28,42
2020-07-05,53
2020-07-12,50
2020-07-19,46
2020-07-26,33
2020-08-02,34
2020-08-09,46
2020-08-16,34
2020-08-23,32
2020-08-30,32
2020-09-06,44
2020-09-13,47
2020-09-20,52
2020-09-27,51
2020-10-04,45
2020-10-11,34
2020-10-18,36
2020-10-25,31
2020-11-01,27
2020-11-08,27
2020-11-15,29
2020-11-22,26
2020-11-29,29
2020-12-06,35
2020-12-13,48
2020-12-20,64
2020-12-27,69
2021-01-03,61
2021-01-10,54
2021-01-17,53
2021-01-24,53
2021-01-31,52
2021-02-07,51
2021-02-14,44
2021-02-21,42
2021-02-28,40
2021-03-07,37
2021-03-14,30
2021-03-21,27
2021-03-28,31
2021-04-04,29
2021-04-11,25
2021-04-18,28
