Category: All categories

Week,COVID-19 vaccine: (Italy)
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,3
2020-03-01,6
2020-03-08,7
2020-03-15,8
2020-03-22,6
2020-03-29,3
2020-04-05,4
2020-04-12,6
2020-04-19,3
2020-04-26,7
2020-05-03,4
2020-05-10,3
2020-05-17,3
2020-05-24,2
2020-05-31,3
2020-06-07,2
2020-06-14,2
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,5
2020-08-02,4
2020-08-09,7
2020-08-16,4
2020-08-23,2
2020-08-30,2
2020-09-06,4
2020-09-13,5
2020-09-20,4
2020-09-27,4
2020-10-04,4
2020-10-11,9
2020-10-18,7
2020-10-25,6
2020-11-01,5
2020-11-08,16
2020-11-15,10
2020-11-22,9
2020-11-29,12
2020-12-06,20
2020-12-13,26
2020-12-20,27
2020-12-27,56
2021-01-03,55
2021-01-10,49
2021-01-17,35
2021-01-24,28
2021-01-31,51
2021-02-07,68
2021-02-14,75
2021-02-21,78
2021-02-28,91
2021-03-07,100
2021-03-14,59
2021-03-21,73
2021-03-28,68
2021-04-04,63
2021-04-11,64
2021-04-18,63
