Week,covid,vaccine
26-01-2020,5,1
02-02-2020,3,1
09-02-2020,3,1
16-02-2020,5,1
23-02-2020,10,4
01-03-2020,13,4
08-03-2020,35,9
15-03-2020,76,18
22-03-2020,100,14
29-03-2020,96,10
05-04-2020,89,8
12-04-2020,83,8
19-04-2020,73,9
26-04-2020,66,9
03-05-2020,61,10
10-05-2020,57,9
17-05-2020,55,11
24-05-2020,49,7
31-05-2020,45,7
07-06-2020,46,7
14-06-2020,47,8
21-06-2020,50,8
28-06-2020,54,9
05-07-2020,55,9
12-07-2020,59,14
19-07-2020,55,13
26-07-2020,56,11
02-08-2020,61,11
09-08-2020,50,16
16-08-2020,45,9
23-08-2020,42,8
30-08-2020,42,8
06-09-2020,42,9
13-09-2020,45,7
20-09-2020,43,7
27-09-2020,44,7
04-10-2020,47,7
11-10-2020,48,7
18-10-2020,50,8
25-10-2020,56,8
01-11-2020,51,7
08-11-2020,58,17
15-11-2020,60,14
22-11-2020,53,13
29-11-2020,53,18
06-12-2020,56,28
13-12-2020,58,34
20-12-2020,60,29
27-12-2020,61,36
03-01-2021,67,47
10-01-2021,65,73
17-01-2021,58,68
24-01-2021,57,66
31-01-2021,52,67
07-02-2021,48,68
14-02-2021,48,64
21-02-2021,50,72
28-02-2021,54,89
07-03-2021,55,100
14-03-2021,55,92
21-03-2021,61,89
28-03-2021,65,96
04-04-2021,72,91
11-04-2021,62,76
18-04-2021,61,69
